Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Argentina,Parque Eólico Del Bicentenario II,Eólica,Santa Cruz,25.2,Operativo,2019,Potenciar Argentina S.A.,Privado,Ciudad de Buenos Aires (Argentina),https://www.pressreader.com/argentina/arq/20191022/281951724596384,-47.31623,-66.97038
Argentina,Parque Eólico Del Bicentenario I,Eólica,Santa Cruz,100,Operativo,2019,Petroquímica Comodoro Rivadavia S.A.,Privado,Ciudad de Buenos Aires (Argentina),https://econojournal.com.ar/2019/06/se-inauguro-un-nuevo-parque-eolico-en-santa-cruz/#:~:text=Es%20el%20Parque%20E%C3%B3lico%20del.estas%20caracter%C3%ADsticas%20en%20nuestro%20pa%C3%ADs.,-47.28167,-67.0227
Argentina,Parque Eólico Jorge Romanutti,Eólica,Pico Truncado. Santa Cruz,2.4,Operativo,1995,Municipalidad de Pico Truncado,Estatal,Pico Truncado (Argentina),https://es.wikipedia.org/wiki/Parque_e%C3%B3lico_Jorge_Romanutti,-46.806972,-67.981083
Argentina,Parque Eólico El Tordillo,Eólica,Chubut,3,Operativo,2010,Vientos de la Patagonia I.S.A./IEASA,Privado,Ciudad de Buenos Aires (Argentina),https://es.wikipedia.org/wiki/Parque_e%C3%B3lico_El_Tordillo,-45.8507,-67.9081
Argentina,Parque Eólico Antonio Morán,Eólica,Comodoro Rivadiavia. Chubut,16.56,Operativo,1994,Sociedad Cooperativa Popular Limitada de Comodoro Rivadavia,Privado,Comodoro Rivadavia (Argentina),https://diariocronica.com.ar/683324-la-scpl-inicia-el-desmantelamiento-controlado-de-los-molinos-en-desuso-del-parque-eolico-antonio-moran.html,-45.8467,-67.4964
Argentina,Parque Eólico Diadema II,Eólica,Chubut,27.6,Operativo,2019,Capex S.A.,Privado,Vicente López (Argentina),https://www.edvsa.com/es/proyecto/parque-eolico-diadema-ii,-45.75408,-67.66252
Argentina,Parque Eólico Diadema I,Eólica,Escalante. Chubut,6.3,Operativo,2011,HYCHICO SA,Privado,Vicente López (Argentina),https://es.wikipedia.org/wiki/Parque_e%C3%B3lico_Diadema,-45.74583,-67.69508
Argentina,Parque Eólico Diadema,Eólica,Chubut,6.3,Operativo,2011,HYCHICO SA,Privado,Vicente López (Argentina),http://energiasdemipais.educ.ar/marcador/parque-eolico-diadema-ii/,-45.7458,-67.6953
Argentina,Parque Eólico Manantiales Behr,Eólica,Chubut,99,Operativo,2018,YPF Energía Eléctrica S.A.,Privado,Ciudad de Buenos Aires (Argentina),https://www.ypf.com/YPFHoy/YPFSalaPrensa/Paginas/Noticias/YPF-LUZ-inauguro-el-parque-eolico-Manantiales-Behr.aspx,-45.65424,-67.78497
Chile,Alto Baguales,Eólica,Aisén,2,Operativo,2011,Empresa Electrica De Aysen S.A.,Privado,Santiago de Chile (Chile),http://energiaabierta.cl/electricidad/,-45.526,-72.1046
